date,CHUBU,"CHUGOKU, SHIKOKU",HOKKAIDO,KANTO,KINKI,"KYUSHU, OKINAWA.",NEAR JAPAN,TOHOKU
2011-12-01,205721.80000000008,103677.4000000001,233312.7999999998,422380.8999999997,162496.09999999998,454033.9999999995,116635.09999999998,545938.4000000007
2012-01-01,207542.10000000006,104185.6000000001,234394.39999999982,429074.7999999997,163314.59999999998,457029.09999999945,117810.99999999997,554193.0000000007
2012-02-01,208920.60000000006,104615.6000000001,235447.7999999998,434957.5999999997,164078.49999999997,459878.89999999944,118804.19999999997,561001.6000000007
2012-03-01,210039.40000000005,105085.50000000009,236617.5999999998,443257.5999999997,164842.79999999996,462808.39999999944,123003.19999999995,567806.7000000007
2012-04-01,210893.00000000006,105585.90000000008,237704.6999999998,449739.0999999997,165574.99999999997,465795.29999999946,124503.59999999995,575793.9000000006
2012-05-01,211892.50000000006,106061.90000000008,238820.0999999998,455291.8999999997,166322.19999999998,468830.6999999995,125768.99999999994,582827.7000000007
2012-06-01,212845.80000000005,106514.70000000008,239850.6999999998,460282.5999999997,167078.19999999998,471809.3999999995,126897.79999999994,588832.4000000006
2012-07-01,214336.80000000005,106952.70000000008,241170.7999999998,465273.99999999965,167768.8,474880.4999999995,128253.69999999994,594830.6000000007
2012-08-01,215305.50000000006,107373.10000000008,242587.39999999982,470073.99999999965,168463.19999999998,478288.4999999995,129057.89999999994,600285.1000000007
2012-09-01,216229.70000000007,107867.20000000008,243735.59999999983,474885.0999999996,169141.69999999998,481372.4999999995,129950.79999999993,605542.7000000007
2012-10-01,217282.10000000006,108384.20000000008,244751.69999999984,479722.1999999996,169791.09999999998,485098.4999999995,130862.29999999993,610956.4000000006
2012-11-01,218200.70000000007,108857.20000000008,245664.69999999984,482576.7999999996,170442.8,488365.4999999995,131698.09999999992,615444.5000000006
2012-12-01,219128.10000000006,109344.80000000009,246611.79999999984,485003.7999999996,171156.5,490682.3999999995,132874.8999999999,622785.8000000006
2013-01-01,219921.60000000006,109884.4000000001,247702.29999999984,487352.09999999957,171913.4,493516.7999999995,133705.09999999992,627139.2000000007
2013-02-01,220645.50000000006,110288.2000000001,249490.09999999983,490859.4999999996,172561.6,496172.99999999953,134422.59999999992,631060.7000000007
2013-03-01,221833.20000000007,110779.5000000001,250686.19999999984,493846.4999999996,173377.6,498837.2999999995,135156.09999999992,635040.4000000006
2013-04-01,222815.40000000008,111285.7000000001,251849.89999999985,497281.1999999996,174903.4,504142.5999999995,135968.3999999999,638578.2000000007
2013-05-01,223771.70000000007,111811.7000000001,252955.89999999985,500316.9999999996,175837.4,508560.7999999995,136807.2999999999,641843.2000000007
2013-06-01,224946.20000000007,112242.1000000001,254400.99999999985,502702.6999999996,176740.5,512423.49999999953,137679.1999999999,644908.1000000007
2013-07-01,225963.30000000008,112735.30000000009,255701.69999999987,505397.2999999996,177569.7,516202.19999999955,138490.0999999999,648725.9000000007
2013-08-01,226911.60000000006,113249.00000000009,256884.99999999985,507850.2999999996,178343.80000000002,520705.0999999995,139210.1999999999,652611.6000000007
2013-09-01,227716.90000000005,113613.20000000008,258025.49999999985,509894.89999999956,179084.2,524498.1999999995,139869.6999999999,656464.3000000006
2013-10-01,228760.60000000006,114027.80000000009,259024.39999999985,511839.7999999996,179797.30000000002,527227.0999999995,141481.2999999999,660523.0000000006
